,image,x,y,num
0,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_170.jpg,233,253,6
1,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_170.jpg,171,212,6
2,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_170.jpg,200,118,6
3,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_170.jpg,11,146,6
4,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_170.jpg,65,159,6
5,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_170.jpg,229,72,6
6,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_200.jpg,233,223,6
7,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_200.jpg,171,182,6
8,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_200.jpg,200,88,6
9,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_200.jpg,11,116,6
10,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_200.jpg,65,129,6
11,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_200.jpg,229,42,6
12,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_230.jpg,233,193,6
13,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_230.jpg,171,152,6
14,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_230.jpg,200,58,6
15,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_230.jpg,11,86,6
16,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_230.jpg,65,99,6
17,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1320.jpg_checked_256_256_cropped/6/pocari-cm_1320.jpg_checked_256_256_30_30_0_230_230.jpg,229,12,6
18,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_170.jpg,245,220,6
19,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_170.jpg,245,220,6
20,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_170.jpg,52,237,6
21,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_170.jpg,19,204,6
22,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_170.jpg,109,150,6
23,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_170.jpg,196,52,6
24,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_200.jpg,245,190,6
25,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_200.jpg,245,190,6
26,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_200.jpg,52,207,6
27,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_200.jpg,19,174,6
28,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_200.jpg,109,120,6
29,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_200.jpg,196,22,6
30,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_260.jpg,245,130,6
31,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_260.jpg,245,130,6
32,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_260.jpg,241,237,6
33,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_260.jpg,52,147,6
34,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_260.jpg,19,114,6
35,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_260.jpg,109,60,6
36,/home/daisuke/Count-Annotator2 (copy)/pocari-cm.mp4_output/pocari-cm_1080.jpg_checked_256_256_cropped/6/pocari-cm_1080.jpg_checked_256_256_30_30_0_710_290.jpg,245,100,6
