,image,x,y,num
0,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_770_50.jpg,31.375,17.5,1
1,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_770_80.jpg,31.375,13.75,1
2,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_770_110.jpg,31.375,10.0,1
3,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_770_140.jpg,31.375,6.25,1
4,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_770_170.jpg,31.375,2.5,1
5,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_650_200.jpg,8.25,3.25,1
6,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_680_200.jpg,4.5,3.25,1
7,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_710_200.jpg,0.75,3.25,1
8,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_800_200.jpg,29.5,1.25,1
9,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_830_230.jpg,31.25,2.25,1
10,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_650_260.jpg,10.0,29.25,1
11,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_680_260.jpg,6.25,29.25,1
12,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_710_260.jpg,2.5,29.25,1
13,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_800_260.jpg,31.125,29.625,1
14,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_830_260.jpg,27.375,29.625,1
15,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1740.jpg_checked_256_256_cropped/1/pocari-cm_1740.jpg_checked_256_256_30_30_0_740_290.jpg,4.125,29.875,1
